City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,port blair,11.6667,92.75,28.439999999999998,75,15,1.84,IN,1682357318
190,kristiansund,63.1115,7.732,4.03000000000003,65,75,6.69,NO,1682357319
191,cururupu,-1.8283,-44.8683,31.55000000000001,51,98,3.24,BR,1682357319
192,bikenibeu village,1.3673,173.1241,26.980000000000018,89,40,2.06,KI,1682357320
193,remire-montjoly,4.9167,-52.2667,25.02000000000004,94,75,1.54,GF,1682357320
194,sandnessjoen,66.0217,12.6316,4.800000000000011,66,40,2.57,NO,1682357320
195,aoulef,26.9667,1.0833,34.19,6,31,7.09,DZ,1682357321
196,chonchi,-42.6128,-73.8092,13.400000000000034,59,25,1.78,CL,1682357323
197,collie,-33.3667,116.15,7.5400000000000205,96,32,1.48,AU,1682357323
198,port shepstone,-30.7414,30.455,22.960000000000036,82,91,4.99,ZA,1682357324
199,hawaiian paradise park,19.5933,-154.9731,23.83000000000004,93,75,2.57,US,1682357324
200,san fernando,15.0286,120.6898,26.850000000000023,89,96,1.73,PH,1682357325
201,kapuskasing,49.4169,-82.4331,-0.9499999999999886,80,100,3.6,CA,1682357325
202,yarmouth,41.7057,-70.2286,15.640000000000043,81,40,2.68,US,1682357326
203,le port,-20.9373,55.2919,27.0,89,18,4.43,RE,1682357326
204,kolonia,50.9333,6.95,12.760000000000048,60,40,5.66,DE,1682357327
205,itoman,26.1247,127.6694,23.010000000000048,78,50,3.09,JP,1682357327
206,naze,28.3667,129.4833,18.510000000000048,81,99,8.41,JP,1682357328
207,alton north (historical),26.2953,-98.3045,21.640000000000043,76,100,4.12,US,1682357328
208,aras-asan,8.8908,126.3033,25.460000000000036,85,53,1.45,PH,1682357329
209,collinsville,38.6703,-89.9846,15.54000000000002,35,0,3.13,US,1682357330
210,ciutadella,40.0011,3.8414,18.450000000000045,71,42,2.15,ES,1682357330
211,medvedevo,56.6339,47.804,13.04000000000002,49,13,2.36,RU,1682357330
212,benghazi,32.1167,20.0667,18.850000000000023,74,1,7.91,LY,1682357332
213,petropavlovsk-kamchatsky,53.0452,158.6483,-1.669999999999959,80,75,1.0,RU,1682357332
214,hasaki,35.7333,140.8333,10.120000000000005,48,100,5.58,JP,1682357141
215,pangai,-19.8,-174.35,24.060000000000002,88,75,1.03,TO,1682357333
216,kurumkan,54.3,110.3,-3.4399999999999977,45,80,0.91,RU,1682357333
217,datong,40.0936,113.2914,7.240000000000009,67,100,5.78,CN,1682357334
218,kotlas,61.2611,46.6556,13.340000000000032,55,52,3.84,RU,1682357334
219,minas de marcona,-15.2119,-75.1103,22.460000000000036,58,3,7.28,PE,1682357335
220,nieuw amsterdam,5.8833,-55.0833,30.090000000000032,66,20,4.12,SR,1682357335
221,villa gesell,-37.2639,-56.973,20.590000000000032,75,51,5.23,AR,1682357336
222,sao joao da barra,-21.6403,-41.0511,27.05000000000001,69,12,4.29,BR,1682357336
223,san julian,21.0167,-102.1667,25.600000000000023,13,25,6.69,MX,1682357336
224,port alfred,-33.5906,26.891,20.660000000000025,90,100,1.34,ZA,1682357337
225,saint-joseph,-21.3667,55.6167,26.210000000000036,81,20,0.58,RE,1682357337
226,magistral'nyy,56.1725,107.4458,-2.8899999999999864,91,100,1.3,RU,1682357337
227,taoudenni,22.6783,-3.9836,37.460000000000036,8,0,6.41,ML,1682357338
228,toliara,-23.35,43.6667,23.010000000000048,79,0,4.0,MG,1682357339
229,pestovo,58.5938,35.8024,13.629999999999995,55,45,2.57,RU,1682357340
230,codrington,-38.2667,141.9667,14.210000000000036,68,0,3.49,AU,1682357340
231,praia da vitoria,38.7333,-27.0667,21.140000000000043,68,20,6.51,PT,1682357340
232,martapura,-3.4167,114.85,24.05000000000001,100,100,1.03,ID,1682357341
233,al ghayzah,16.2079,52.176,28.900000000000034,70,44,5.14,YE,1682357342
234,mirny,62.5353,113.9611,-15.089999999999975,99,28,0.45,RU,1682357342
235,munkebo,55.4618,10.5558,10.510000000000048,80,90,5.21,DK,1682357342
236,sinop,41.7711,34.8709,7.240000000000009,92,93,1.36,TR,1682357343
237,mata-utu,-13.2816,-176.1745,27.629999999999995,73,100,1.9,WF,1682357343
238,arraial do cabo,-22.9661,-42.0278,25.980000000000018,61,75,3.09,BR,1682357344
239,sitka,57.0531,-135.33,5.939999999999998,70,100,4.63,US,1682357344
240,tierp,60.3427,17.5181,2.900000000000034,76,100,3.55,SE,1682357346
241,springbok,-29.6643,17.8865,16.640000000000043,73,9,2.19,ZA,1682357346
242,port lincoln,-34.7333,135.8667,18.680000000000007,73,98,3.27,AU,1682357347
243,banda aceh,5.5577,95.3222,27.210000000000036,81,100,2.93,ID,1682357089
244,byron bay,-28.65,153.6167,17.060000000000002,67,72,5.67,AU,1682356902
245,medicine hat,50.0501,-110.6683,14.010000000000048,42,100,3.09,CA,1682357348
246,cruz del eje,-30.7264,-64.8039,21.720000000000027,48,100,2.62,AR,1682357349
247,namdrik,5.5994,168.1028,27.57000000000005,81,100,5.39,MH,1682357349
248,chui,-33.6971,-53.4616,24.200000000000045,62,54,4.69,UY,1682357350
249,opuwo,-18.0607,13.84,27.460000000000036,35,37,2.8,NA,1682357350
250,kailua-kona,19.6406,-155.9956,23.610000000000014,70,0,2.06,US,1682357351
251,nsanje,-16.92,35.262,21.850000000000023,69,78,1.52,MW,1682357351
252,maumere,-8.6199,122.2111,26.340000000000032,84,60,2.07,ID,1682357352
253,phan thong,13.468,101.0953,31.680000000000007,86,100,2.64,TH,1682357352
254,downpatrick,54.3263,-5.7035,10.600000000000023,54,22,3.72,GB,1682357353
255,lebu,-37.6167,-73.65,12.960000000000036,81,0,4.22,CL,1682357353
256,kayes,14.0,-11.0,40.960000000000036,9,23,0.92,ML,1682357354
257,nizhnyaya poyma,56.1622,97.1933,1.150000000000034,90,100,1.53,RU,1682357354
258,badger,64.8,-147.5333,-10.859999999999957,49,75,8.23,US,1682357354
259,hamilton,39.1834,-84.5333,9.400000000000034,51,100,4.12,US,1682357057
260,kodiak,57.79,-152.4072,1.7300000000000182,44,0,5.14,US,1682357356
261,vilyuysk,63.7553,121.6247,-4.659999999999968,93,100,3.59,RU,1682357356
